Locatienaam,Eenheid,Plaats,Gemeente,Latitude,Longitude,,Argus,,1,,2,,3,,4
N232 29.5 Schipholwg ri A-veen,Noord-Holland,Badhoevedorp,Haarlemmermeer,47.75511,2.333458,Ja,,x,,x,,,,,
N253 8.0 Nieuwstraat,Zeeland-West-Brabant,Oostburg,Sluis,51.310278,3.457222,Ja,,,,x,,,,x,
N661 Vliss.weg x Zuidb.weg,Zeeland-West-Brabant,Vlissingen,Vlissingen,51.463333,3.5925,Ja,,x,,x,,,,x,
08 Europaweg West ri havens,Zeeland-West-Brabant,Rithem,Vlissingen,51.47167,3.6776,Ja,,x,,x,,,,x,
08 Europaweg West ri Ritthem,Zeeland-West-Brabant,Ritthem,Vlissingen,51.47167,3.6776,Ja,,x,,x,,,,x,
08 Engelandweg ri havens,Zeeland-West-Brabant,Rithem,Vlissingen,51.472441,3.678116,Ja,,x,,x,,,,x,
08 Engelandweg ri N254,Zeeland-West-Brabant,Rithem,Vlissingen,51.472441,3.678116,Ja,,x,,x,,,,x,
08 VLSSNGN Frankrijkwg ri hvns,Zeeland-West-Brabant,Nieuwdorp,Borsele,51.463553,3.730193,Ja,,x,,,,,,,
08 VLSSNGN Frankrijkwg ri N254,Zeeland-West-Brabant,Nieuwdorp,Borsele,51.463493,3.730247,Ja,,x,,,,,,,
08 Europaweg Oost ri Goes,Zeeland-West-Brabant,Nieuwdorp,Borsele,51.448576,3.744656,Ja,,x,,x,,,,x,
08 Europaweg Oost ri havens,Zeeland-West-Brabant,Nieuwdorp,Borsele,51.448576,3.744656,Ja,,x,,x,,,,x,
N62 Li 33.4 Westerschelde,Zeeland-West-Brabant,Borssele,Borssele,51.439495,3.757009,Ja,,x,,x,,x,,x,
N62 Re 33.4 Westerschelde,Zeeland-West-Brabant,Borssele,Borssele,51.439495,3.757009,Ja,,x,,x,,x,,x,
N57 39.9 Brouwersdm S-kerke,Rotterdam,Goedereede,Goedereede,51.761881,3.854405,Ja,,,,x,,,,x,
N57 39.9 Brouwersdm ri Ouddorp,Rotterdam,Goedereede,Goedereede,51.761799,3.854472,Ja,,,,x,,,,x,
