Naam,Locatie (straat),Locatie (GPS Latitude),Locatie (GPS Longtitude),Tijdigheid camera,Geplaatst op,Wordt verwijderd op,Eigenaar camera,Afdeling,Doel van de camera,Omschrijving
UTR-SB-144,BFA Amelisweerd                                 ,52.06489,5.1698543,Vast,,,Gemeente Utrecht,BOR,Operantioneel beheer van goederen,Beweegbare Fysieke afsluiting
UTR-SB-143,BFA Mariaplaats                                   ,52.09009,5.1174727,Vast,,,Gemeente Utrecht,BOR,Operantioneel beheer van goederen,Beweegbare Fysieke afsluiting
UTR-SB-142,BFA Hellingbaan -Stationsplein            ,52.89228,5.1124322,Vast,,,Gemeente Utrecht,BOR,Operantioneel beheer van goederen,Beweegbare Fysieke afsluiting
UTR-SB-141,BFA Vredenburg                                   ,52.09276,5.114827,Vast,,,Gemeente Utrecht,BOR,Operantioneel beheer van goederen,Beweegbare Fysieke afsluiting
UTR-SB-145,"Camera 101, Linker buis SBN-MBN-0.04-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-146,"Camera 102, Linker buis SBN-BBR-0.09-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-147,"Camera 103, Linker buis SBT-GWL-1.12-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-148,"Camera 104, Linker buis SBT-GWL-1.13-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-149,"Camera 105, Linker buis SBT-GWL-1.14-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-150,"Camera 106, Linker buis SBT-GWL-1.16-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-151,"Camera 107, Linker buis SBT-GWL-1.17-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-152,"Camera 108, Linker buis SBT-GWL-1.18-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-153,"Camera 109, Linker buis SBT-GWL-1.19-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-154,"Camera 110, Linker buis SBT-GWL-1.21-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-155,"Camera 111, Linker buis SBT-GWL-1.21-CAM-002",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-156,"Camera 112, Linker buis SBZ-MBZ-0.23-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-157,"Camera 113, Linker buis SBZ-MBZ-0.24-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-158,"Camera 114, Linker buis SBZ-MBZ-0.24-CAM-002",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-178,"Camera 300, Vluchtgang SBT-VGN-1.00-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-179,"Camera 301, Vluchtgang SBT-VGN-0.01-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-180,"Camera 302, Vluchtgang SBT-VGN-0.01-CAM-002",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-181,"Camera 303, Vluchtgang SBT-VGN-0.01-CAM-003",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-182,"Camera 304, Vluchtgang SBT-MTK-0.14-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-183,"Camera 305, Vluchtgang SBT-MTK-0.15-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-184,"Camera 306, Vluchtgang SBT-MTK-0.16-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-185,"Camera 307, Vluchtgang SBT-MTK-0.16-CAM-002",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-186,"Camera 308, Vluchtgang SBT-MTK-0.18-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-187,"Camera 310, Vluchtgang SBT-MTK-0.19-CAM-001",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
UTR-SB-188,"Camera 309, Vluchtgang SBT-MTK-0.19-CAM-002",52.10071,5.06500,Vast,,,Gemeente Utrecht,BOR,tunnelbeheer stadsbaantunnel,GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam)
